Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-18 21:57:52,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-18 21:58:22,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 00:43:02,2022-05-19 00:43:50,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 00:43:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 00:43:50,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 00:43:50,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 00:49:30,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 00:51:33,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 00:51:44,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 00:52:14,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 01:05:32,2022-05-19 01:06:19,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 01:05:32,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 01:06:19,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 01:06:19,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 02:38:39,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 02:40:20,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 02:40:31,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 02:41:01,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 06:30:28,2022-05-19 06:31:16,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 06:30:28,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 06:31:16,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 06:31:16,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 06:37:07,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 06:43:03,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 06:43:13,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 06:43:43,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 07:03:30,2022-05-19 07:04:18,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 07:03:30,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 07:04:18,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:04:18,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:18:12,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 07:21:09,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 07:21:20,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 07:21:50,-,-,Informational,100210,Mains operation,,,Full Performance,,
